portfolio,rebalance_frequency,liquidity_filter,cost_bps,weights,annualized_return,annualized_sharpe,max_drawdown,average_daily_turnover,long_turnover,short_turnover,entry_turnover,exit_turnover,hit_rate,net_cumulative_return,n_days
dedup_3f_equal_weight_idio,daily,none,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.15273525770950958,0.8153859551232646,-0.3162503270596023,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.5074681238615665,3.7033950853370223,2745
dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.10532925000046056,0.6002740271810872,-0.34442333213285736,0.12040256501737345,0.04910659494078199,0.07171345987942405,0.06014439574984318,0.05975737186687437,0.4987240247903755,1.9744268832185718,2743
dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,5,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.08854115670458307,0.5236282135144438,-0.34624665130031684,0.12040256501737345,0.04910659494078199,0.07171345987942405,0.06014439574984318,0.05975737186687437,0.4961720743711265,1.5179859996021756,2743
dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,10,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.07200284850694039,0.4469606851518337,-0.34806554871799933,0.12040256501737345,0.04910659494078199,0.07171345987942405,0.06014439574984318,0.05975737186687437,0.4932555596062705,1.1314757863440845,2743
dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,20,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.03966108238547417,0.2936507202966096,-0.351690114924919,0.12040256501737345,0.04910659494078199,0.07171345987942405,0.06014439574984318,0.05975737186687437,0.4896099161502005,0.5270939780806427,2743
dedup_3f_fm_weighted_idio,daily,none,0,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.14765534993656382,0.7979757787761371,-0.2871028836204672,0.2131623003061929,0.08255902630654785,0.13082589910325687,0.10665053872163753,0.10625684682619572,0.51183970856102,3.482475943827782,2745
dedup_3f_fm_weighted_idio,daily,none,5,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.11700993128054282,0.6602564001853574,-0.2971347726189316,0.2131623003061929,0.08255902630654785,0.13082589910325687,0.10665053872163753,0.10625684682619572,0.5049180327868853,2.337939114475403,2745
dedup_3f_fm_weighted_idio,daily,none,10,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.08717934927117788,0.5225560701159335,-0.3192552444871811,0.2131623003061929,0.08255902630654785,0.13082589910325687,0.10665053872163753,0.10625684682619572,0.5012750455373406,1.4855569914294815,2745
dedup_3f_fm_weighted_idio,daily,none,20,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.029876969971415424,0.24722489959981975,-0.3711982454854418,0.2131623003061929,0.08255902630654785,0.13082589910325687,0.10665053872163753,0.10625684682619572,0.4870673952641166,0.3780626242927325,2745
dedup_3f_fm_weighted_idio,daily,adv20_filtered,0,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.13477849211188664,0.7330371335844391,-0.2943710495755242,0.2191209632525308,0.08582798978852058,0.1335167698279188,0.10956120479550674,0.10916532683240573,0.5136612021857924,2.964046339187214,2745
dedup_3f_fm_weighted_idio,daily,adv20_filtered,5,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.1036406670694312,0.5934450691039451,-0.31145330420282646,0.2191209632525308,0.08582798978852058,0.1335167698279188,0.10956120479550674,0.10916532683240573,0.5049180327868853,1.9276284827546077,2745
