date,total_pnl,market_beta_pnl,sector_exposure_pnl,size_value_momentum_factor_pnl,transaction_cost_pnl,residual_alpha_pnl,rolling_60d_residual_beta,total_sector_pnl__Information Technology,total_sector_pnl__Unknown,total_sector_pnl__Consumer Staples,total_sector_pnl__Energy,total_sector_pnl__Utilities,total_sector_pnl__Industrials,total_sector_pnl__Consumer Discretionary,total_sector_pnl__Communication Services,total_sector_pnl__Financials,total_sector_pnl__Materials,total_sector_pnl__Real Estate,total_sector_pnl__Health Care
2016-04-28,0.004749541205852357,2.7379006040240254e-18,0.0031307282460191284,0.0,-6.841158729571754e-06,0.0016256541185627978,0.49075634645564586,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-29,0.0022439813595529112,-9.42396789167291e-19,0.004266583982461288,0.0,-0.00033175487393718555,-0.0016908477489711899,0.48354936919603864,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-02,5.062647504620061e-05,-5.162397105460063e-19,0.004206384902039198,0.0,-5.0406553456363027e-05,-0.004105351873536633,0.46472750439153915,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-03,0.0012412859616441133,-1.3737737399634512e-18,0.004071960729503292,0.0,-2.8610396408558057e-05,-0.0028020643714506193,0.49831736093455464,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-04,-0.0017207776937857233,-1.131893354972428e-18,0.0027139371229809067,0.0,-0.0001272122785577322,-0.004307502538208896,0.4293422240930203,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-05,-0.00573148284841908,9.918883651514517e-20,-0.0050200639268543745,0.0,-0.0001867906513492487,-0.0005246282702154569,0.42515481393623206,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-06,-0.005719918489295482,-5.361063382891022e-19,0.0031833148259850894,0.0,-0.0005565522179266903,-0.00834668109735388,0.41947179826562875,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-09,0.007137025919826222,-1.4457187506429454e-19,0.004331355940742199,0.0,-1.606985539331365e-05,0.0028217398344773372,0.3995206530757373,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-10,-0.006899363155302771,1.0035500917053987e-18,-0.002446862775153514,0.0,-0.0001262528344811071,-0.004326247545668151,0.3947840276321248,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-05-11,-0.00888612502064831,1.9942069243145687e-18,-0.004070018065197946,0.0,-0.00011372197644724795,-0.004702384979003117,0.4054985458089592,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
